Player_name,Level,Role,Metric,Score
Ravi Bishnoi,capped,Bowler,FIS,54.96120469
Deepak Hooda,capped,All Rounder,FIS,49.86865438
Bhuvneshwar Kumar,capped,Bowler,FIS,30.0
Adam Zampa,capped,Bowler,FIS,30.0
Mitchell Starc,Elite,Bowler,FIS,56.81761626
Moeen Ali,capped,All Rounder,FIS,30.0
Donovan Ferreira,capped,Wicket Keeper,FIS,30.0
Ravindra Jadeja,Elite,All Rounder,FIS,30.0
Yash Dayal,capped,Bowler,FIS,60.60575398
Mohit Sharma,capped,Bowler,FIS,74.26367382
Mukesh Kumar,capped,Bowler,FIS,30.0
Avesh Khan,capped,Bowler,FIS,30.0
Manoj Bhandage,Uncapped,All Rounder,FIS,30.0
Nathan Ellis,capped,Bowler,FIS,30.0
Mohammad Shami,capped,Bowler,FIS,49.86679472
Kagiso Rabada,Elite,Bowler,FIS,60.3669418
V Satyanarayana Penmetsa,Uncapped,Bowler,FIS,30.0
Mujeeb Ur Rahman,capped,Bowler,FIS,30.0
Zeeshan Ansari,Uncapped,Bowler,FIS,30.0
Fazalhaq Farooqi,capped,Bowler,FIS,62.44473259
Suyash Sharma,capped,Bowler,FIS,49.86679472
Mayank Yadav,capped,Bowler,FIS,30.0
Kwena Maphaka,capped,Bowler,FIS,30.0
Ishant Sharma,capped,Bowler,FIS,30.0
Liam Livingstone,capped,All Rounder,FIS,30.0
Jamie Overton,capped,Bowler,FIS,49.91072209
Dushmantha Chameera,capped,Bowler,FIS,30.0
Suryansh Shedge,Uncapped,All Rounder,FIS,30.0
Wiaan Mulder,capped,All Rounder,FIS,30.0
Simarjeet Singh,Uncapped,Bowler,FIS,30.0
Rasikh Dar Salam,capped,Bowler,FIS,30.0
Anrich Nortje,capped,Bowler,FIS,30.0
Spencer Johnson,capped,Bowler,FIS,30.0
Kyle Jamieson,capped,Bowler,FIS,30.0
Chetan Sakariya,Uncapped,Bowler,FIS,30.0
Rahul Chahar,capped,Bowler,FIS,30.0
T Natarajan,capped,Bowler,FIS,30.0
Karim Janat,Uncapped,All Rounder,FIS,30.0
Kuldeep Sen,Uncapped,Bowler,FIS,30.0
Vishnu Vinod,capped,Wicket Keeper,FIS,30.0
Nishant Sindhu,capped,All Rounder,FIS,30.0
Swastik Chikara,Uncapped,Batter,FIS,30.0
Shamar Joseph,capped,Bowler,FIS,30.0
Aryan Juyal,Uncapped,Wicket Keeper,FIS,30.0
RS Hangargekar,Uncapped,All Rounder,FIS,30.0
Yuvraj Chaudhary,Uncapped,All Rounder,FIS,30.0
Arshin Kulkarni,Uncapped,All Rounder,FIS,30.0
Himmat Singh,Uncapped,Batter,FIS,30.0
Nandre Burger,capped,Bowler,FIS,30.0
Ashok Sharma,Uncapped,Bowler,FIS,30.0
Swapnil Singh,Uncapped,All Rounder,FIS,30.0
Mahipal Lomror,capped,All Rounder,FIS,30.0
Lhuan-dre Pretorius,Uncapped,Wicket Keeper,FIS,30.0
Kunal Rathore,Uncapped,Wicket Keeper,FIS,30.0
Shreyas Gopal,Uncapped,Bowler,FIS,30.0
Kamlesh Nagarkoti,Uncapped,Bowler,FIS,30.0
Luvnith Sisodia,Uncapped,Wicket Keeper,FIS,30.0
Darshan Nalkande,Uncapped,All Rounder,FIS,30.0
Mayank Markande,Uncapped,Bowler,FIS,30.0
Vansh Bedi,Uncapped,Wicket Keeper,FIS,30.0
Ramakrishna Ghosh,Uncapped,All Rounder,FIS,30.0
Ajay Jadav Mandal,Uncapped,All Rounder,FIS,30.0
Umran Malik,capped,Bowler,FIS,30.0
Tripurana Vijay,Uncapped,All Rounder,FIS,30.0
Dasun Shanaka,capped,All Rounder,FIS,30.0
Mohit Rathee,Uncapped,All Rounder,FIS,30.0
Arjun Tendulkar,capped,All Rounder,FIS,30.0
Lizaad Williams,capped,Bowler,FIS,30.0
Raghu Sharma,Uncapped,Bowler,FIS,30.0
Tim Seifert,capped,Wicket Keeper,FIS,30.0
Andre Siddarth,Uncapped,Batter,FIS,30.0
Reece Topley,capped,Bowler,FIS,30.0
Harnoor Singh,Uncapped,Batter,FIS,30.0
Pyla Avinash,Uncapped,Batter,FIS,30.0
Jonny Bairstow,capped,Wicket Keeper,FIS,30.0
